trade_id,epic,signal_type,entry_time,exit_time,entry_price,exit_price,position_size,pnl_pips,pnl_currency,duration_minutes,status
T000333,CS.D.EURUSD.MINI.IP,BEAR,2025-06-19 00:15:00,2025-06-19 06:30:00,1.14749,1.1446342063940445,119166.97,28.55793605955448,340.3162709670847,375,CLOSED_WIN
T000337,CS.D.EURUSD.MINI.IP,BEAR,2025-06-19 03:20:00,2025-06-19 07:20:00,1.14545,1.1469500000000001,117851.63,-15.000000000000568,-176.7774450000067,240,CLOSED_LOSS
T000338,CS.D.USDJPY.MINI.IP,BULL,2025-06-19 06:00:00,2025-06-19 10:10:00,145.202,145.51231217926787,1178.52,31.03121792678678,365.7091095107676,250,CLOSED_WIN
T000342,CS.D.GBPUSD.MINI.IP,BULL,2025-06-19 09:20:00,2025-06-19 10:20:00,1.3423800000000001,1.3438170909090907,92332.42,14.370909090906103,132.69008139633607,60,CLOSED_WIN
T000339,CS.D.USDJPY.MINI.IP,BULL,2025-06-19 07:35:00,2025-06-19 10:45:00,145.337,145.6290667125172,1200.32,29.20667125171974,350.5735163686424,190,CLOSED_WIN
T000340,CS.D.USDJPY.MINI.IP,BULL,2025-06-19 07:50:00,2025-06-19 10:45:00,145.337,145.62292756183746,1200.32,28.592756183746815,343.2045710247498,175,CLOSED_WIN
T000341,CS.D.USDJPY.MINI.IP,BULL,2025-06-19 08:30:00,2025-06-19 10:45:00,145.369,145.6338946186674,1200.32,26.489461866739816,317.9583086788514,135,CLOSED_WIN
T000343,CS.D.USDJPY.MINI.IP,BULL,2025-06-19 10:25:00,2025-06-19 10:50:00,145.446,145.706,1266.77,25.99999999999909,329.3601999999885,25,CLOSED_WIN
T000344,CS.D.GBPUSD.MINI.IP,BULL,2025-06-19 10:40:00,2025-06-19 11:00:00,1.3434700000000002,1.3415200000000003,97444.21,-19.499999999998963,-190.0162094999899,20,CLOSED_LOSS
T000345,CS.D.USDJPY.MINI.IP,BULL,2025-06-19 11:35:00,2025-06-19 12:45:00,145.688,145.53799999999998,1420.25,-15.000000000000568,-213.0375000000081,70,CLOSED_LOSS
T000349,CS.D.USDJPY.MINI.IP,BULL,2025-06-19 12:20:00,2025-06-19 12:45:00,145.702,145.552,1420.25,-15.000000000000568,-213.0375000000081,25,CLOSED_LOSS
T000346,CS.D.USDJPY.MINI.IP,BULL,2025-06-19 11:45:00,2025-06-19 12:50:00,145.665,145.515,1420.25,-15.000000000000568,-213.0375000000081,65,CLOSED_LOSS
T000348,CS.D.USDJPY.MINI.IP,BULL,2025-06-19 12:05:00,2025-06-19 12:50:00,145.678,145.528,1420.25,-15.000000000000568,-213.0375000000081,45,CLOSED_LOSS
T000347,CS.D.EURUSD.MINI.IP,BULL,2025-06-19 11:55:00,2025-06-19 14:25:00,1.1481999999999999,1.1466999999999998,142025.21,-15.000000000000568,-213.03781500000807,150,CLOSED_LOSS
T000351,CS.D.EURUSD.MINI.IP,BULL,2025-06-19 13:25:00,2025-06-19 14:30:00,1.14807,1.1465699999999999,130663.21,-15.000000000000568,-195.99481500000746,65,CLOSED_LOSS
T000352,CS.D.EURUSD.MINI.IP,BULL,2025-06-19 13:45:00,2025-06-19 14:30:00,1.148,1.1464999999999999,130663.21,-15.000000000000568,-195.99481500000746,45,CLOSED_LOSS
T000350,CS.D.EURUSD.MINI.IP,BULL,2025-06-19 13:05:00,2025-06-19 14:45:00,1.1479599999999999,1.1464599999999998,130663.21,-15.000000000000568,-195.99481500000746,100,CLOSED_LOSS
T000356,CS.D.EURUSD.MINI.IP,BEAR,2025-06-19 16:50:00,2025-06-19 17:40:00,1.1455,1.147,119982.91,-15.000000000000568,-179.97436500000683,50,CLOSED_LOSS
T000355,CS.D.EURUSD.MINI.IP,BEAR,2025-06-19 16:25:00,2025-06-19 17:45:00,1.14586,1.1473600000000002,119982.91,-15.000000000000568,-179.97436500000683,80,CLOSED_LOSS
T000354,CS.D.USDJPY.MINI.IP,BULL,2025-06-19 16:00:00,2025-06-19 17:50:00,145.67399999999998,145.52399999999997,1199.83,-15.000000000000568,-179.97450000000683,110,CLOSED_LOSS
T000353,CS.D.EURUSD.MINI.IP,BEAR,2025-06-19 15:05:00,2025-06-19 18:05:00,1.14685,1.14835,119982.91,-15.000000000000568,-179.97436500000683,180,CLOSED_LOSS
T000357,CS.D.USDJPY.MINI.IP,BEAR,2025-06-20 00:10:00,2025-06-20 01:40:00,145.206,145.356,1103.84,-15.000000000000568,-165.57600000000627,90,CLOSED_LOSS
T000359,CS.D.EURUSD.MINI.IP,BULL,2025-06-20 00:35:00,2025-06-20 03:40:00,1.1513399999999998,1.1525971428571427,110384.28,12.571428571428456,138.76880914285587,185,CLOSED_WIN
T000361,CS.D.EURUSD.MINI.IP,BULL,2025-06-20 01:15:00,2025-06-20 03:45:00,1.1521,1.1527491428571426,110384.28,6.491428571426816,71.65516690283776,150,CLOSED_WIN
T000362,CS.D.EURUSD.MINI.IP,BULL,2025-06-20 01:45:00,2025-06-20 03:45:00,1.152,1.1527291428571427,108176.6,7.291428571427616,78.87619519998968,120,CLOSED_WIN
T000358,CS.D.USDJPY.MINI.IP,BEAR,2025-06-20 00:30:00,2025-06-20 05:20:00,145.252,145.40200000000002,1103.84,-15.000000000000568,-165.57600000000627,290,CLOSED_LOSS
T000360,CS.D.USDJPY.MINI.IP,BEAR,2025-06-20 01:10:00,2025-06-20 05:20:00,145.251,145.401,1103.84,-15.000000000000568,-165.57600000000627,250,CLOSED_LOSS
T000363,CS.D.GBPUSD.MINI.IP,BULL,2025-06-20 04:05:00,2025-06-20 06:00:00,1.3499700000000001,1.3480200000000002,86179.95,-19.499999999998963,-168.05090249999108,115,CLOSED_LOSS
T000366,CS.D.GBPUSD.MINI.IP,BULL,2025-06-20 05:50:00,2025-06-20 06:05:00,1.34986,1.3479100000000002,82783.52,-19.499999999998963,-161.42786399999142,15,CLOSED_LOSS
T000364,CS.D.GBPUSD.MINI.IP,BULL,2025-06-20 04:50:00,2025-06-20 06:30:00,1.34976,1.3478100000000002,86179.95,-19.499999999998963,-168.05090249999108,100,CLOSED_LOSS
